chromosome	start	end	RE	TSS_RE	Activity_H3K27ac	H3K4me1_rank	H3K4me3_rank	H3K27ac_rank	CTCF_rank	H3K4me1_auc	H3K4me3_auc	H3K27ac_auc	CTCF_auc
chr2	45936151	45936966	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	313828.88480758667
chr2	1591628	1592548	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	641544.5746688843
chr2	42974738	42975629	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	854007.4909248352
chr2	43024201	43025114	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	408159.87759399414
chr2	20290807	20291645	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	349063.6159172058
chr2	70861459	70862529	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	805919.6751098633
chr2	30026048	30026591	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	90580.56954574585
chr2	27703710	27704149	Enhancer/CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	67388.17018890381	0.0	0.0	392326.4903640747
chr2	118738450	118738975	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	69866.19254302979	0.0	0.0	0.0
chr2	36695570	36696248	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	237925.96648788452
chr2	238290015	238290692	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	52308.948207855225	0.0	265523.8352355957	0.0
chr2	237923227	237924250	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	816562.9414329529
chr2	38947058	38948254	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	415437.9447441101
chr2	206988997	206989946	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	531319.4644775391
chr2	27683286	27683968	CTCF	CTCF	Inactive	3.0	4.0	2.0	1.0	0.0	0.0	63929.81831741333	755662.3476924896
chr2	150477121	150477848	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	70933.88948822021	0.0	100037.67681312561	0.0
chr2	58107819	58108380	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	91039.54892730713	0.0	213536.77787780762	0.0
chr2	72367681	72368374	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	450429.41567230225
chr2	231714836	231716473	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	524021.0615463257
chr2	231795277	231796415	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	467337.3690338135
chr2	96407102	96408046	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	633394.8969478607
chr2	158893944	158894577	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	38639.94073677063	0.0	450205.8610534668	0.0
chr2	48420496	48421344	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	474290.989364624
chr2	173214090	173214670	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	57758.47861480713	0.0	114300.96059036255	0.0
chr2	149597261	149598294	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	418255.94935417175
chr2	201232006	201232804	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	591956.4915809631
chr2	227406008	227406659	CTCF	CTCF	Inactive	3.0	4.0	2.0	1.0	0.0	0.0	113547.73942947388	239993.89379119873
chr2	183242932	183243429	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	43031.76119232178	0.0	0.0	0.0
chr2	64330617	64331442	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	407247.5715942383
chr2	218897898	218898887	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	1020511.1577224731
chr2	9142489	9143343	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	744431.1230392456
chr2	91766397	91766837	Enhancer	Promoter	Inactive	1.0	2.0	3.0	4.0	67448.63014221191	0.0	0.0	0.0
chr2	233711184	233712115	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	542875.0600967407
chr2	217402997	217403522	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	71679.30151367188	0.0	0.0	0.0
chr2	53403831	53404459	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	55340.93716049194	0.0	449841.47874069214	0.0
chr2	25128991	25129842	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	324837.1352405548
chr2	36561424	36561971	Enhancer	Promoter	Inactive	1.0	2.0	3.0	4.0	14384.224296569824	0.0	0.0	0.0
chr2	172465421	172466255	CTCF	CTCF	Inactive	3.0	4.0	2.0	1.0	0.0	0.0	106379.61969566345	280256.39699172974
chr2	37562260	37562648	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	63278.486251831055	0.0	134809.08699798584	0.0
chr2	150141551	150142065	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	19642.29209136963	0.0	158986.22296142578	0.0
chr2	112726514	112727156	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	753391.8527374268
chr2	149062477	149063026	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	76474.04955291748	0.0	88908.86151123047	0.0
chr2	10035732	10036576	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	432062.020072937
chr2	72367713	72368306	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	447023.52140045166
chr2	9770056	9771019	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	575210.8166847229
chr2	134118216	134118821	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	195129.31213378906
chr2	1817275	1818273	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	1020268.0468254089
chr2	98162541	98163133	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	83726.59744262695	0.0	137287.52359771729	0.0
chr2	121095000	121095895	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	626603.3129730225
chr2	234463857	234464486	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	92812.40585327148	0.0	143823.87440109253	0.0
chr2	180125216	180126086	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	356828.07206726074
chr2	215138419	215138873	Promoter	Promoter	Active	3.0	2.0	1.0	4.0	0.0	24397.812519073486	190793.17092895508	0.0
chr2	27687108	27687702	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	27378.338249206543	0.0	108517.87176132202	0.0
chr2	64646153	64646945	CTCF	CTCF	Inactive	3.0	4.0	2.0	1.0	0.0	0.0	76443.65357780457	487245.4926261902
chr2	27762309	27762719	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	54031.42784881592	0.0	0.0	0.0
chr2	36562148	36562607	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	66824.11665725708	0.0	0.0	0.0
chr2	37586163	37586698	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	35446.78910064697	0.0	158062.91722106934	0.0
chr2	38395895	38396600	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	8662.767623901367	0.0	16790.373565673828	0.0
chr2	119231971	119232400	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	58020.3311920166	0.0	0.0	0.0
chr2	112599997	112600486	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	627312.9065475464
chr2	134136971	134137681	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	106148.98529052734	0.0	274890.9737663269	0.0
chr2	68741666	68742127	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	42830.30602264404	0.0	0.0	0.0
chr2	163778252	163778830	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	61445.18330383301	0.0	0.0	0.0
chr2	201798784	201799325	CTCF	CTCF	Inactive	3.0	4.0	2.0	1.0	0.0	0.0	64197.08289718628	128450.87001800537
chr2	216682245	216682996	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	417424.81786346436
chr2	28545774	28546330	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	34076.87990951538	0.0	0.0	0.0
chr2	101396176	101396789	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	85580.00149917603	0.0	269132.1034851074	0.0
chr2	151945045	151945759	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	34852.485427856445	0.0	68959.64291667938	0.0
chr2	11778917	11779806	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	684625.1881446838
chr2	112941570	112942382	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	882937.4379196167
chr2	72827840	72828433	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	66018.24430084229	0.0	161780.59454154968	0.0
chr2	223727270	223728036	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	304320.65064430237
chr2	85266120	85267270	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	653262.6044597626
chr2	64606458	64607501	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	128027.48066329956	0.0	873343.1211090088	0.0
chr2	219273012	219273394	Enhancer	Enhancer	Inactive	1.0	3.0	2.0	4.0	40614.21883773804	0.0	1360.72802734375	0.0
chr2	174536253	174536848	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	88481.03991699219	0.0	0.0	0.0
chr2	231600631	231602443	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	772103.9869594574
chr2	3662170	3662736	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	88776.20725631714
chr2	197614949	197615473	Enhancer/CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	75184.71270751953	0.0	0.0	328425.4691314697
chr2	127721244	127721747	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	66884.57531356812	0.0	133618.43287467957	0.0
chr2	45938615	45939250	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	94685.94076538086	0.0	0.0	0.0
chr2	203578978	203579559	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	53628.52184295654	0.0	112770.1859741211	0.0
chr2	108593385	108594035	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	115093.7984085083	0.0	443499.3976135254	0.0
chr2	152440413	152441048	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	40694.82889556885	0.0	160954.46565437317	0.0
chr2	105575888	105577175	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	298218.4804458618
chr2	45936115	45936774	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	300347.2272491455
chr2	26329771	26330534	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	497746.98680114746
chr2	20091511	20092129	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	18594.72198677063	0.0	343559.0058288574	0.0
chr2	225668572	225669350	CTCF	Promoter	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	263774.2683811188
chr2	200608906	200609394	Enhancer	Promoter	Inactive	1.0	2.0	3.0	4.0	87695.33261108398	0.0	0.0	0.0
chr2	224849197	224849670	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	230526.30506324768
chr2	73981977	73982594	Promoter	Promoter	Active	3.0	2.0	1.0	4.0	0.0	42373.956130981445	106282.42705726624	0.0
chr2	231713544	231714794	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	744431.0053596497
chr2	108636087	108637037	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	1086358.5092048645
chr2	97740273	97741153	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	442279.6251068115
chr2	237672797	237674144	CTCF	Promoter	Inactive	3.0	4.0	2.0	1.0	0.0	0.0	27068.717613220215	392995.4961795807
chr2	216666412	216667196	Enhancer/CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	34066.80836868286	0.0	0.0	752682.2450809479
chr2	231795435	231796002	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	413451.26958084106
chr2	200300548	200301122	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	93960.72166824341	0.0	113887.92587661743	0.0
chr2	229780505	229781620	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	357618.75537109375
chr2	168336594	168337373	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	505045.3996810913
chr2	72892354	72894214	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	890397.9701271057
chr2	101152624	101153329	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	392650.972240448
chr2	91764525	91765452	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	2840.5789947509766	0.0	0.0	0.0
chr2	235746214	235747006	CTCF	Promoter	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	379513.87590408325
chr2	236689917	236690447	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	25726.375240325928	0.0	89443.426612854	0.0
chr2	226118314	226119522	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	105101.39757537842	0.0	1132464.2120132446	0.0
chr2	112958568	112959801	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	667068.6333847046
chr2	238262994	238264304	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	584090.5174121857
chr2	120262596	120263198	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	95532.13219070435	0.0	0.0	0.0
chr2	196232624	196233907	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	81087.48207855225	0.0	1632774.0698547363	0.0
chr2	138786865	138787654	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	271498.37451171875
chr2	234544700	234545620	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	559053.0550231934
chr2	159035975	159036499	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	230505.98686408997
chr2	159118420	159119166	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	562844.219127655
chr2	134460242	134461133	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	597450.511680603
chr2	68943289	68944188	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	483150.40045928955
chr2	173654012	173655360	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	246284.1685180664	0.0	602643.7522354126	0.0
chr2	174039770	174040283	Enhancer/CTCF	Promoter	Inactive	3.0	4.0	2.0	1.0	68012.73453521729	0.0	92480.77870178223	503524.8989868164
chr2	38115051	38115870	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	671447.5932006836
chr2	234288915	234289423	Enhancer/CTCF	Promoter	Inactive	3.0	4.0	2.0	1.0	22644.03505706787	0.0	50735.66752624512	328506.5687427521
chr2	241312018	241312517	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	88158.60403442383	0.0	152449.92778015137	0.0
chr2	174771299	174772335	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	652046.1664829254
chr2	112749403	112750291	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	787126.3118515015
chr2	44043931	44044808	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	890397.9822158813
chr2	172226179	172226782	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	130903.88224983215
chr2	131673571	131674516	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	725921.7175998688
chr2	207505550	207506282	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	34429.43766784668	0.0	286931.0226802826	0.0
chr2	218301081	218301941	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	557552.9757614136
chr2	225889192	225889908	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	213111.61283493042
chr2	9813237	9814504	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	869151.5647392273
chr2	131016822	131017726	Promoter	Enhancer	Active	3.0	2.0	1.0	4.0	0.0	106002.73449325562	676378.0754241943	0.0
chr2	174748500	174749470	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	335115.61862564087
chr2	45992985	45993988	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	486069.7249107361
chr2	68925101	68925946	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	702100.6680526733
chr2	25376261	25377359	CTCF	CTCF	Inactive	3.0	4.0	2.0	1.0	0.0	0.0	260336.01530075073	420790.0399017334
chr2	85285214	85286108	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	1106428.8809776306
chr2	202588466	202589252	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	697904.2109413147
chr2	95231400	95232215	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	629380.9206867218
chr2	20097916	20098746	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	792924.4046440125
chr2	235765944	235766747	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	367552.79454421997
chr2	201149063	201150249	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	105907.2449798584	0.0	1007739.2336082458	0.0
chr2	30164611	30165574	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	461255.31677246094
chr2	217993678	217994537	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	395570.1926689148
chr2	145752128	145753110	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	361146.4321975708
chr2	152925547	152926422	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	536103.8071670532
chr2	9333390	9334184	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	436440.91081237793
chr2	222707984	222708773	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	361997.820728302
chr2	134118106	134118758	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	197055.26608276367
chr2	20290960	20291453	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	334183.1055755615
chr2	85706868	85707873	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	434616.3557701111
chr2	60948777	60949346	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	23651.359561920166	0.0	396359.89527130127	0.0
chr2	9110600	9111288	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	191216.6229019165
chr2	102001566	102002191	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	16600.27697944641	0.0	160189.02893066406	0.0
chr2	88180786	88181299	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	45328.37648010254	0.0	0.0	0.0
chr2	219273728	219275127	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	70047.4220046997	0.0	1753392.848602295	0.0
chr2	218186252	218186716	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	388880.062997818
chr2	31333330	31334149	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	512809.98003959656
chr2	177242344	177243059	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	22885.800750732422	0.0	741109.7501831055	0.0
chr2	105294648	105295436	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	309510.66555023193
chr2	171415888	171416634	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	499368.7197570801
chr2	168211044	168211626	Enhancer	Promoter	Inactive	1.0	2.0	3.0	4.0	60619.13047027588	0.0	0.0	0.0
chr2	105237724	105238411	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	485785.80977249146
chr2	69816747	69817469	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	309449.7185096741
chr2	217694845	217695429	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	55018.62852859497	0.0	0.0	0.0
chr2	130920224	130921015	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	461255.36240005493
chr2	225668334	225669171	CTCF	Promoter	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	284209.61232566833
chr2	47322937	47323723	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	716656.7890777588
chr2	101341745	101342767	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	496287.28132629395
chr2	64873188	64874061	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	749398.0390796661
chr2	9142555	9143199	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	741167.1379871368
chr2	72859603	72860301	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	284635.38817977905
chr2	231405248	231406369	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	438853.4927082062
chr2	33210586	33211065	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	51331.903144836426	0.0	0.0	0.0
chr2	237858054	237858983	CTCF	Promoter	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	767055.8622779846
chr2	217510591	217511303	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	302151.4794769287
chr2	220687056	220687812	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	398388.15973472595
chr2	231905842	231906636	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	359078.5320549011
chr2	113138336	113138791	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	263389.1302719116
chr2	38508228	38509222	CTCF	Promoter	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	230546.5106201172
chr2	44578321	44578979	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	54313.511585235596	0.0	0.0	0.0
chr2	9830246	9830848	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	65514.617347717285	0.0	0.0	0.0
chr2	150610553	150611204	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	289014.4761123657
chr2	11863340	11864255	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	728658.5611724854
chr2	137173273	137174048	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	274417.7533302307
chr2	20212455	20212915	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	37874.38914871216	0.0	307402.61053466797	0.0
chr2	234550263	234551188	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	646633.3230476379
chr2	218301213	218301689	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	534644.2959213257
chr2	173210417	173211117	CTCF	CTCF	Inactive	3.0	4.0	2.0	1.0	0.0	0.0	191206.28580856323	313828.7734680176
chr2	17851504	17852341	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	483150.34881973267
chr2	28275858	28276653	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	23449.89575958252	0.0	222648.75826644897	0.0
chr2	9895660	9896136	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	29836.15630722046	0.0	114835.51513290405	0.0
chr2	203782081	203782915	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	497990.32052612305
chr2	201795722	201796472	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	423243.1804218292
chr2	98649151	98650017	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	1013577.6431694031
chr2	46062689	46063539	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	362504.7397594452
chr2	231648374	231649140	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	430014.36926841736
chr2	57720645	57721471	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	535151.085062027
chr2	205675507	205676495	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	349793.3864021301
chr2	105369557	105370390	CTCF	Promoter	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	569534.4877147675
chr2	50492134	50493028	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	234155.2177772522
chr2	216372575	216374072	Promoter	Enhancer	Inactive	2.0	1.0	3.0	4.0	0.0	125222.49142074585	0.0	0.0
chr2	101831089	101832523	CTCF	Promoter	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	394110.5320549011
chr2	113203692	113204570	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	623278.5157585144
chr2	96950738	96951794	CTCF	Promoter	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	838214.7917671204
chr2	191554956	191555640	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	289014.52197647095
chr2	149313257	149314006	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	487529.206451416
chr2	14756843	14757392	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	51694.533363342285	0.0	0.0	0.0
chr2	219521035	219522102	CTCF	Promoter	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	344481.81352233887
chr2	219402639	219403506	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	491604.2979106903
chr2	223969977	223970871	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	400151.8515510559
chr2	96763404	96764330	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	296312.7303390503
chr2	9768224	9769570	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	610202.3672981262
chr2	26577543	26578688	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	1023227.8650665283
chr2	37168059	37168925	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	253211.96334838867
