chr	start	end	id	RE_rule	Active_rule	Active_inter
chr5	35788614	35789232	chr5:35788614_35789232	Enhancer	Inactive	Inactive
chr11	43898549	43899006	chr11:43898549_43899006	Enhancer	Active	Inactive
chr15	39908128	39908682	chr15:39908128_39908682	Enhancer	Inactive	Inactive
chr7	46603523	46604616	chr7:46603523_46604616	Enhancer	Inactive	Inactive
chr3	72186084	72186934	chr3:72186084_72186934	Enhancer	Inactive	Inactive
chr16	70688123	70688730	chr16:70688123_70688730	Enhancer	Inactive	Inactive
chr7	65745527	65746698	chr7:65745527_65746698	Enhancer	Active	Inactive
chr3	183454892	183455588	chr3:183454892_183455588	Enhancer	Inactive	Inactive
chr3	183555260	183556199	chr3:183555260_183556199	Enhancer	Active	Active
chr22	24761802	24762367	chr22:24761802_24762367	Enhancer/CTCF	Inactive	Inactive
chr3	133874723	133875566	chr3:133874723_133875566	Enhancer	Inactive	Inactive
chr4	165905520	165906121	chr4:165905520_165906121	Enhancer	Active	Inactive
chr11	60787054	60787781	chr11:60787054_60787781	Enhancer	Active	Inactive
chr1	24730358	24731084	chr1:24730358_24731084	Enhancer	Inactive	Inactive
chr11	60891013	60891665	chr11:60891013_60891665	Enhancer	Inactive	Inactive
chr9	5553121	5553688	chr9:5553121_5553688	Enhancer	Inactive	Inactive
chr1	84632856	84633347	chr1:84632856_84633347	Enhancer	Inactive	Inactive
chr11	121727009	121728022	chr11:121727009_121728022	Enhancer	Inactive	Inactive
chr1	8394650	8395423	chr1:8394650_8395423	Enhancer	Active	Inactive
chr6	12245812	12247101	chr6:12245812_12247101	Enhancer	Active	Inactive
chr12	31896416	31897158	chr12:31896416_31897158	Enhancer	Active	Inactive
chr18	61719578	61720250	chr18:61719578_61720250	Enhancer	Inactive	Inactive
chr6	3706889	3707543	chr6:3706889_3707543	Enhancer	Inactive	Inactive
chr6	12066138	12066766	chr6:12066138_12066766	Enhancer	Inactive	Inactive
chr9	98248769	98249244	chr9:98248769_98249244	Enhancer	Active	Active
chr13	48144281	48144917	chr13:48144281_48144917	Enhancer	Active	Inactive
chr4	54945628	54946315	chr4:54945628_54946315	Enhancer/CTCF	Inactive	Inactive
chr1	47181886	47182367	chr1:47181886_47182367	Enhancer	Inactive	Inactive
chr10	119335944	119336483	chr10:119335944_119336483	Enhancer	Inactive	Inactive
chr6	131013263	131014219	chr6:131013263_131014219	Enhancer	Active	Inactive
chr2	181903766	181904943	chr2:181903766_181904943	Enhancer/CTCF	Inactive	Inactive
chr14	54662674	54663289	chr14:54662674_54663289	Enhancer	Inactive	Inactive
chr6	146892445	146893042	chr6:146892445_146893042	Enhancer	Inactive	Inactive
chr9	81529249	81530462	chr9:81529249_81530462	Enhancer	Inactive	Inactive
chr3	108489277	108490229	chr3:108489277_108490229	Enhancer/CTCF	Inactive	Inactive
chr6	152673069	152673763	chr6:152673069_152673763	Enhancer	Inactive	Inactive
chr10	114550706	114552010	chr10:114550706_114552010	Enhancer	Inactive	Inactive
chr9	76818008	76818913	chr9:76818008_76818913	Enhancer	Active	Inactive
chr1	15958821	15959237	chr1:15958821_15959237	Enhancer	Inactive	Inactive
chr6	154547933	154548979	chr6:154547933_154548979	Enhancer	Inactive	Inactive
chr1	234602573	234603446	chr1:234602573_234603446	Enhancer	Active	Inactive
chr9	91378385	91379241	chr9:91378385_91379241	Enhancer	Inactive	Inactive
chr18	75280188	75281215	chr18:75280188_75281215	Enhancer	Active	Inactive
chr2	191961200	191962223	chr2:191961200_191962223	Enhancer	Inactive	Inactive
chr2	178242027	178242828	chr2:178242027_178242828	Enhancer	Inactive	Inactive
chr18	70996085	70996994	chr18:70996085_70996994	Enhancer	Active	Inactive
chr6	13225942	13226615	chr6:13225942_13226615	Enhancer	Inactive	Inactive
chr18	23115531	23116202	chr18:23115531_23116202	Enhancer	Active	Inactive
chrX	109856870	109858276	chrX:109856870_109858276	Enhancer	Active	Inactive
chr17	29155960	29156405	chr17:29155960_29156405	Enhancer	Inactive	Inactive
chr4	125703396	125703966	chr4:125703396_125703966	Enhancer	Inactive	Inactive
chr5	90134719	90135390	chr5:90134719_90135390	Enhancer	Inactive	Inactive
chr11	105141937	105142738	chr11:105141937_105142738	Enhancer	Active	Inactive
chr10	133293144	133293562	chr10:133293144_133293562	Enhancer	Inactive	Inactive
chr7	114789081	114789767	chr7:114789081_114789767	Enhancer	Inactive	Inactive
chr17	50423671	50424285	chr17:50423671_50424285	Enhancer	Inactive	Inactive
chr7	116213083	116214155	chr7:116213083_116214155	Enhancer	Active	Inactive
chr4	78720979	78721681	chr4:78720979_78721681	Enhancer	Inactive	Inactive
chr1	121214480	121215089	chr1:121214480_121215089	Enhancer/CTCF	Inactive	Inactive
chr11	101863222	101863835	chr11:101863222_101863835	Enhancer	Active	Inactive
chr9	130044759	130045939	chr9:130044759_130045939	Enhancer	Inactive	Inactive
chr14	95514885	95515640	chr14:95514885_95515640	Enhancer	Inactive	Inactive
chr11	28342981	28343833	chr11:28342981_28343833	Enhancer	Active	Inactive
chr4	119729874	119730677	chr4:119729874_119730677	Enhancer	Inactive	Inactive
chr22	29380302	29380768	chr22:29380302_29380768	Enhancer	Active	Inactive
chr7	107147440	107148074	chr7:107147440_107148074	Enhancer/CTCF	Inactive	Inactive
chr5	97547848	97548588	chr5:97547848_97548588	Enhancer	Inactive	Inactive
chr1	98086546	98087447	chr1:98086546_98087447	Enhancer	Active	Active
chr6	111757239	111757807	chr6:111757239_111757807	Enhancer	Inactive	Inactive
chr1	16175778	16176375	chr1:16175778_16176375	Enhancer	Active	Inactive
chr4	151215077	151215936	chr4:151215077_151215936	Enhancer	Inactive	Inactive
chr13	44819174	44819699	chr13:44819174_44819699	Enhancer	Inactive	Inactive
chr3	165642873	165643683	chr3:165642873_165643683	Enhancer	Active	Inactive
chr6	75842568	75843230	chr6:75842568_75843230	Enhancer	Inactive	Inactive
chr14	75604874	75606152	chr14:75604874_75606152	Enhancer	Inactive	Inactive
chr2	167509392	167510449	chr2:167509392_167510449	Enhancer	Active	Inactive
chr6	111730593	111731525	chr6:111730593_111731525	Enhancer	Inactive	Inactive
chr20	1396195	1396954	chr20:1396195_1396954	Enhancer	Active	Inactive
chr11	9252937	9253609	chr11:9252937_9253609	Enhancer	Active	Inactive
chr9	21863592	21864163	chr9:21863592_21864163	Enhancer	Inactive	Inactive
chr6	111445595	111446295	chr6:111445595_111446295	Enhancer	Active	Inactive
chr17	7497149	7497624	chr17:7497149_7497624	Enhancer	Inactive	Inactive
chr20	11157999	11158769	chr20:11157999_11158769	Enhancer	Inactive	Inactive
chr14	35155784	35156674	chr14:35155784_35156674	Enhancer	Active	Inactive
chr6	100382662	100383492	chr6:100382662_100383492	Enhancer	Inactive	Inactive
chr9	19161543	19162158	chr9:19161543_19162158	Enhancer	Inactive	Inactive
chr12	89469283	89469761	chr12:89469283_89469761	Enhancer	Inactive	Inactive
chr4	31089755	31090321	chr4:31089755_31090321	Enhancer	Inactive	Inactive
chr3	124777943	124778610	chr3:124777943_124778610	Enhancer/CTCF	Inactive	Inactive
chr5	124070722	124071593	chr5:124070722_124071593	Enhancer	Inactive	Inactive
chr1	172380703	172381289	chr1:172380703_172381289	Enhancer	Inactive	Inactive
chr10	63772930	63773596	chr10:63772930_63773596	Enhancer	Inactive	Inactive
chr5	120445726	120446813	chr5:120445726_120446813	Enhancer	Active	Inactive
chr3	124834851	124835713	chr3:124834851_124835713	Enhancer	Active	Inactive
chr8	70141340	70141943	chr8:70141340_70141943	Enhancer	Inactive	Inactive
chr15	95770062	95770754	chr15:95770062_95770754	Enhancer	Inactive	Inactive
chr8	19471951	19472672	chr8:19471951_19472672	Enhancer	Inactive	Inactive
chrX	68163092	68164229	chrX:68163092_68164229	Enhancer	Active	Inactive
chr8	104746638	104747208	chr8:104746638_104747208	Enhancer	Active	Inactive
chr21	37374747	37375280	chr21:37374747_37375280	Enhancer	Active	Inactive
chr8	30432431	30433423	chr8:30432431_30433423	Enhancer	Inactive	Inactive
chr15	70902096	70902563	chr15:70902096_70902563	Enhancer	Active	Inactive
chr12	91432016	91432672	chr12:91432016_91432672	Enhancer	Inactive	Inactive
chr1	31932344	31932900	chr1:31932344_31932900	Enhancer	Active	Inactive
chr10	74439041	74439681	chr10:74439041_74439681	Enhancer	Inactive	Inactive
chr2	10382500	10383106	chr2:10382500_10383106	Enhancer	Inactive	Inactive
chr15	68765474	68766183	chr15:68765474_68766183	Enhancer	Inactive	Inactive
chr12	97075335	97076232	chr12:97075335_97076232	Enhancer	Active	Inactive
chr15	56871044	56871685	chr15:56871044_56871685	Enhancer	Inactive	Inactive
chr8	105716496	105717198	chr8:105716496_105717198	Enhancer	Inactive	Inactive
chr1	204503069	204503811	chr1:204503069_204503811	Enhancer/CTCF	Inactive	Inactive
chr1	17233038	17233457	chr1:17233038_17233457	Enhancer	Inactive	Inactive
chr8	34837550	34838454	chr8:34837550_34838454	Enhancer	Active	Inactive
chr2	4421305	4421918	chr2:4421305_4421918	Enhancer	Inactive	Inactive
chr5	13985421	13986320	chr5:13985421_13986320	Enhancer	Active	Inactive
chr1	218390377	218391158	chr1:218390377_218391158	Enhancer	Inactive	Inactive
chr10	5291642	5292252	chr10:5291642_5292252	Enhancer	Active	Inactive
chr15	60752108	60753154	chr15:60752108_60753154	Enhancer	Active	Inactive
chr8	117706585	117707252	chr8:117706585_117707252	Enhancer	Active	Inactive
chrX	77087537	77088546	chrX:77087537_77088546	Enhancer	Active	Inactive
chr16	81717864	81718315	chr16:81717864_81718315	Enhancer	Inactive	Inactive
chr6	11389771	11390561	chr6:11389771_11390561	Enhancer	Active	Inactive
chr10	122504483	122505051	chr10:122504483_122505051	Enhancer	Inactive	Inactive
chr16	84603013	84603606	chr16:84603013_84603606	Enhancer	Active	Inactive
chr18	58936987	58937874	chr18:58936987_58937874	Enhancer	Active	Inactive
chr12	11482760	11483597	chr12:11482760_11483597	Enhancer	Active	Inactive
chr1	224447178	224447681	chr1:224447178_224447681	Enhancer	Inactive	Inactive
chr10	58282338	58283162	chr10:58282338_58283162	Enhancer	Active	Inactive
chr1	8600076	8600854	chr1:8600076_8600854	Enhancer	Active	Inactive
chr13	95127937	95128704	chr13:95127937_95128704	Enhancer	Inactive	Inactive
chr7	29622476	29623108	chr7:29622476_29623108	Enhancer	Inactive	Inactive
chr6	4610121	4610816	chr6:4610121_4610816	Enhancer	Active	Inactive
chr4	48640520	48641318	chr4:48640520_48641318	Enhancer	Inactive	Inactive
chr22	46770515	46771241	chr22:46770515_46771241	Enhancer	Inactive	Inactive
chr1	211541656	211542397	chr1:211541656_211542397	Enhancer	Inactive	Inactive
chr6	75098565	75099235	chr6:75098565_75099235	Enhancer	Inactive	Inactive
chr1	150688725	150689200	chr1:150688725_150689200	Enhancer	Inactive	Inactive
chr2	177758534	177759441	chr2:177758534_177759441	Enhancer/CTCF	Inactive	Inactive
chr3	81363845	81365014	chr3:81363845_81365014	Enhancer	Active	Inactive
chr17	45487553	45488174	chr17:45487553_45488174	Enhancer	Inactive	Inactive
chr5	32193423	32194136	chr5:32193423_32194136	Enhancer	Inactive	Inactive
chr5	154042609	154043251	chr5:154042609_154043251	Enhancer	Inactive	Inactive
chr7	43978080	43978734	chr7:43978080_43978734	Enhancer	Inactive	Inactive
chr17	44794782	44795436	chr17:44794782_44795436	Enhancer	Active	Inactive
chr6	130928929	130929789	chr6:130928929_130929789	Enhancer	Inactive	Inactive
chr12	75658776	75659370	chr12:75658776_75659370	Enhancer	Inactive	Inactive
chr1	232667091	232667993	chr1:232667091_232667993	Enhancer	Inactive	Inactive
chr20	35344172	35344793	chr20:35344172_35344793	Enhancer	Inactive	Inactive
chr18	14971480	14972226	chr18:14971480_14972226	Enhancer	Active	Inactive
chr7	35004631	35005201	chr7:35004631_35005201	Enhancer	Inactive	Inactive
chr22	35971756	35972257	chr22:35971756_35972257	Enhancer	Inactive	Inactive
chr17	73292085	73292565	chr17:73292085_73292565	Enhancer	Active	Inactive
chr16	85144143	85144691	chr16:85144143_85144691	Enhancer	Active	Inactive
chr2	229852414	229853290	chr2:229852414_229853290	Enhancer	Active	Inactive
chr6	33320350	33320800	chr6:33320350_33320800	Enhancer	Active	Inactive
chr15	71780015	71780938	chr15:71780015_71780938	CTCF	Inactive	Inactive
chr9	129607336	129608200	chr9:129607336_129608200	Enhancer	Active	Inactive
chr1	60509987	60510712	chr1:60509987_60510712	Enhancer	Inactive	Active
chr12	48779862	48780389	chr12:48779862_48780389	Enhancer	Active	Inactive
chr2	207692226	207693078	chr2:207692226_207693078	Enhancer/CTCF	Inactive	Inactive
chr5	69512587	69513328	chr5:69512587_69513328	Enhancer	Inactive	Inactive
chr13	97344424	97345307	chr13:97344424_97345307	CTCF	Inactive	Inactive
chr15	57878457	57879137	chr15:57878457_57879137	Enhancer	Inactive	Inactive
chr9	127065540	127066214	chr9:127065540_127066214	Enhancer	Active	Inactive
chr19	49896807	49897342	chr19:49896807_49897342	Enhancer	Active	Inactive
chr4	118086237	118086893	chr4:118086237_118086893	Enhancer	Inactive	Inactive
chr2	42420727	42421448	chr2:42420727_42421448	Enhancer	Active	Inactive
chr18	36176479	36177278	chr18:36176479_36177278	Enhancer	Active	Inactive
chr12	111569948	111570444	chr12:111569948_111570444	Enhancer	Inactive	Inactive
chr14	49982127	49983106	chr14:49982127_49983106	Enhancer	Active	Inactive
chr3	42179300	42179838	chr3:42179300_42179838	Enhancer	Inactive	Inactive
chr4	11624488	11625795	chr4:11624488_11625795	Enhancer	Inactive	Inactive
chr11	94938323	94938973	chr11:94938323_94938973	Enhancer	Inactive	Inactive
chr3	172061594	172062213	chr3:172061594_172062213	Enhancer	Inactive	Inactive
chr18	34767529	34768291	chr18:34767529_34768291	Enhancer	Active	Inactive
chr22	47328773	47329457	chr22:47328773_47329457	Enhancer	Inactive	Inactive
chr4	105989367	105990085	chr4:105989367_105990085	Enhancer	Inactive	Inactive
chr3	99410541	99411516	chr3:99410541_99411516	Enhancer	Inactive	Inactive
chr18	57693761	57694360	chr18:57693761_57694360	Enhancer	Active	Inactive
chr19	44856579	44857107	chr19:44856579_44857107	Enhancer	Inactive	Inactive
chr2	98598686	98599405	chr2:98598686_98599405	Enhancer	Inactive	Inactive
chr2	202470862	202471492	chr2:202470862_202471492	Enhancer	Inactive	Inactive
chr12	124591960	124592485	chr12:124591960_124592485	Enhancer	Active	Inactive
chr10	90313743	90314426	chr10:90313743_90314426	Enhancer	Inactive	Inactive
chr1	201495745	201496413	chr1:201495745_201496413	Enhancer	Active	Inactive
chr7	24891260	24892021	chr7:24891260_24892021	Enhancer	Inactive	Inactive
chr3	99925489	99926120	chr3:99925489_99926120	Enhancer	Inactive	Inactive
chr2	158845544	158846488	chr2:158845544_158846488	Enhancer	Inactive	Inactive
chr7	24729161	24729746	chr7:24729161_24729746	Enhancer	Inactive	Inactive
chr3	173938096	173938745	chr3:173938096_173938745	Enhancer	Inactive	Inactive
chr5	121273887	121274588	chr5:121273887_121274588	Enhancer	Active	Inactive
chr7	23759637	23760515	chr7:23759637_23760515	Enhancer	Inactive	Inactive
chr14	23114939	23115401	chr14:23114939_23115401	Enhancer	Inactive	Inactive
chr2	66488812	66489893	chr2:66488812_66489893	Enhancer	Inactive	Inactive
chr1	231544887	231545681	chr1:231544887_231545681	Enhancer	Inactive	Inactive
chr12	100058343	100059157	chr12:100058343_100059157	Enhancer/CTCF	Inactive	Active
chr3	174949362	174950173	chr3:174949362_174950173	Enhancer	Active	Inactive
chr8	81050578	81051064	chr8:81050578_81051064	Enhancer	Inactive	Inactive
chr11	18749620	18750132	chr11:18749620_18750132	Enhancer	Active	Active
chr21	17527014	17527878	chr21:17527014_17527878	Enhancer	Active	Inactive
chr19	11264464	11264894	chr19:11264464_11264894	Enhancer	Active	Inactive
chr6	152905197	152906260	chr6:152905197_152906260	Enhancer	Inactive	Active
chr6	14876980	14877714	chr6:14876980_14877714	Enhancer	Active	Inactive
chr15	89123098	89123589	chr15:89123098_89123589	Enhancer	Inactive	Inactive
chr17	60630293	60630983	chr17:60630293_60630983	Enhancer	Active	Inactive
chr2	182547744	182548944	chr2:182547744_182548944	Enhancer	Inactive	Inactive
chr6	148524728	148525376	chr6:148524728_148525376	Enhancer	Active	Inactive
chr15	61038366	61038904	chr15:61038366_61038904	Enhancer	Inactive	Inactive
chr10	6195226	6195843	chr10:6195226_6195843	Enhancer	Inactive	Inactive
chr2	44553351	44553959	chr2:44553351_44553959	Enhancer	Inactive	Inactive
chr5	164235175	164236073	chr5:164235175_164236073	Enhancer	Inactive	Inactive
chr1	54287103	54287649	chr1:54287103_54287649	Enhancer	Inactive	Inactive
chr5	263447	264021	chr5:263447_264021	Enhancer	Active	Inactive
chr2	63434579	63435643	chr2:63434579_63435643	Enhancer/CTCF	Inactive	Inactive
chr14	76768126	76768796	chr14:76768126_76768796	Enhancer	Active	Inactive
chr7	77359681	77360540	chr7:77359681_77360540	Enhancer	Inactive	Inactive
chr19	16347623	16348198	chr19:16347623_16348198	Enhancer	Active	Inactive
chr16	22386888	22387542	chr16:22386888_22387542	Enhancer	Inactive	Inactive
chr12	90970256	90970922	chr12:90970256_90970922	Enhancer	Inactive	Inactive
chr4	145609444	145610259	chr4:145609444_145610259	Enhancer/CTCF	Inactive	Inactive
chr19	13986338	13986905	chr19:13986338_13986905	Enhancer	Active	Inactive
chrX	72094769	72095817	chrX:72094769_72095817	Enhancer	Active	Inactive
chr13	27607063	27607637	chr13:27607063_27607637	Enhancer	Inactive	Inactive
chr7	79622582	79623459	chr7:79622582_79623459	Enhancer	Inactive	Inactive
chr10	33306188	33307367	chr10:33306188_33307367	Enhancer	Inactive	Inactive
chr9	77926221	77926882	chr9:77926221_77926882	Enhancer	Inactive	Inactive
chr9	137632691	137633208	chr9:137632691_137633208	Enhancer	Active	Inactive
chr2	85662716	85663289	chr2:85662716_85663289	Enhancer	Inactive	Inactive
chr19	38023193	38023691	chr19:38023193_38023691	Enhancer	Active	Inactive
chr12	1171537	1172273	chr12:1171537_1172273	Enhancer	Inactive	Inactive
chr10	11647635	11648277	chr10:11647635_11648277	Enhancer	Inactive	Inactive
chr5	31485243	31486284	chr5:31485243_31486284	Enhancer	Active	Inactive
chr20	10910410	10911391	chr20:10910410_10911391	Enhancer/CTCF	Inactive	Inactive
chr8	81488103	81488818	chr8:81488103_81488818	Enhancer	Inactive	Inactive
chr5	137953911	137954774	chr5:137953911_137954774	Enhancer	Active	Inactive
chr1	75578923	75579643	chr1:75578923_75579643	Enhancer	Inactive	Inactive
chr6	147166200	147166998	chr6:147166200_147166998	Enhancer	Active	Inactive
chr7	51075658	51076466	chr7:51075658_51076466	Enhancer	Inactive	Inactive
chr10	329310	330060	chr10:329310_330060	Enhancer	Active	Inactive
chr8	104428285	104428960	chr8:104428285_104428960	Enhancer	Active	Inactive
chr18	76827617	76828238	chr18:76827617_76828238	Enhancer	Inactive	Inactive
chr9	84152060	84152704	chr9:84152060_84152704	Enhancer	Inactive	Inactive
chr9	3332612	3333286	chr9:3332612_3333286	Enhancer	Active	Inactive
chr4	40180195	40180890	chr4:40180195_40180890	Enhancer	Active	Inactive
chr1	207393476	207394130	chr1:207393476_207394130	Enhancer	Active	Inactive
chr3	52763335	52764013	chr3:52763335_52764013	Enhancer	Active	Inactive
chr3	71244843	71245472	chr3:71244843_71245472	Enhancer	Inactive	Inactive
chr11	128580457	128581247	chr11:128580457_128581247	Enhancer	Inactive	Inactive
chr1	172180741	172182000	chr1:172180741_172182000	Enhancer	Active	Inactive
chr22	37303730	37304254	chr22:37303730_37304254	Enhancer	Inactive	Inactive
chr6	76681676	76682439	chr6:76681676_76682439	Enhancer	Inactive	Inactive
chr7	66848219	66848891	chr7:66848219_66848891	Enhancer	Active	Inactive
chr9	106799007	106799799	chr9:106799007_106799799	Enhancer	Active	Inactive
chr11	110305568	110306226	chr11:110305568_110306226	Enhancer/CTCF	Inactive	Inactive
chr3	191366541	191367211	chr3:191366541_191367211	Enhancer	Inactive	Inactive
chr6	9503033	9504059	chr6:9503033_9504059	Enhancer	Active	Inactive
chr2	152580483	152581173	chr2:152580483_152581173	Enhancer	Inactive	Inactive
chr21	16554400	16554938	chr21:16554400_16554938	Enhancer	Inactive	Inactive
chr6	43499282	43499841	chr6:43499282_43499841	Enhancer	Inactive	Inactive
chr17	77423460	77424196	chr17:77423460_77424196	Enhancer	Active	Inactive
chr2	69816772	69817559	chr2:69816772_69817559	Enhancer/CTCF	Inactive	Inactive
chr2	1739077	1739749	chr2:1739077_1739749	Enhancer	Inactive	Inactive
chr17	35254077	35254852	chr17:35254077_35254852	Enhancer	Active	Inactive
chr1	107861853	107862622	chr1:107861853_107862622	Enhancer	Inactive	Inactive
chr7	104960814	104961602	chr7:104960814_104961602	Enhancer/CTCF	Inactive	Inactive
chr17	76696726	76697167	chr17:76696726_76697167	Enhancer	Active	Inactive
chr14	83975351	83976799	chr14:83975351_83976799	Enhancer	Inactive	Inactive
chr15	63260594	63261313	chr15:63260594_63261313	Enhancer	Active	Inactive
chr7	134940982	134941664	chr7:134940982_134941664	Enhancer	Active	Inactive
chr15	63288328	63289214	chr15:63288328_63289214	Enhancer/CTCF	Inactive	Inactive
chr15	59237009	59237662	chr15:59237009_59237662	Enhancer	Active	Inactive
chr17	78761865	78762314	chr17:78761865_78762314	Enhancer	Active	Inactive
chr6	7722677	7723601	chr6:7722677_7723601	Enhancer/CTCF	Inactive	Inactive
chr14	100031395	100032114	chr14:100031395_100032114	Enhancer	Active	Active
chr5	14739471	14740074	chr5:14739471_14740074	Enhancer	Active	Inactive
chr12	57388966	57389489	chr12:57388966_57389489	Enhancer	Inactive	Inactive
chr4	149987092	149988039	chr4:149987092_149988039	Enhancer	Inactive	Inactive
chr12	122366825	122367318	chr12:122366825_122367318	Enhancer	Active	Inactive
chr6	75501650	75502367	chr6:75501650_75502367	Enhancer	Active	Inactive
chr1	43821950	43822487	chr1:43821950_43822487	Enhancer	Active	Inactive
chr8	134580814	134581608	chr8:134580814_134581608	Enhancer	Active	Inactive
chr17	45294471	45294911	chr17:45294471_45294911	Enhancer	Inactive	Inactive
chr1	7552352	7552883	chr1:7552352_7552883	Enhancer	Inactive	Inactive
chr5	127858098	127858944	chr5:127858098_127858944	Enhancer	Active	Inactive
chr1	12510130	12510836	chr1:12510130_12510836	Enhancer	Inactive	Inactive
chr22	25091351	25091911	chr22:25091351_25091911	Enhancer	Inactive	Inactive
chr5	142821870	142822489	chr5:142821870_142822489	Enhancer	Inactive	Inactive
chr17	52789731	52790837	chr17:52789731_52790837	Enhancer	Active	Inactive
chr17	47621638	47622229	chr17:47621638_47622229	Enhancer	Inactive	Inactive
chr1	8045948	8046610	chr1:8045948_8046610	Enhancer	Inactive	Inactive
chr12	98352348	98352972	chr12:98352348_98352972	Enhancer	Active	Inactive
chr17	49669927	49670514	chr17:49669927_49670514	Enhancer	Inactive	Inactive
chr15	77990409	77991008	chr15:77990409_77991008	Enhancer	Inactive	Inactive
chr20	25310301	25310808	chr20:25310301_25310808	Enhancer/CTCF	Inactive	Inactive
chr7	105806531	105806958	chr7:105806531_105806958	Enhancer	Inactive	Inactive
chr5	14264444	14265257	chr5:14264444_14265257	Enhancer	Active	Active
chr14	88878802	88879660	chr14:88878802_88879660	Enhancer	Active	Inactive
chr12	122064810	122065269	chr12:122064810_122065269	Enhancer	Inactive	Inactive
chr11	72067020	72067747	chr11:72067020_72067747	Enhancer	Active	Inactive
chr4	139908859	139909524	chr4:139908859_139909524	Enhancer	Inactive	Inactive
chr12	12159869	12160653	chr12:12159869_12160653	Enhancer	Inactive	Inactive
chr12	28313465	28314102	chr12:28313465_28314102	Enhancer	Inactive	Inactive
chr17	41521627	41522023	chr17:41521627_41522023	Enhancer	Active	Inactive
chr11	100619352	100619936	chr11:100619352_100619936	Enhancer	Inactive	Inactive
chr1	79160973	79161663	chr1:79160973_79161663	Enhancer	Active	Inactive
chr7	106775408	106776236	chr7:106775408_106776236	Enhancer	Active	Active
chr6	82260183	82260809	chr6:82260183_82260809	Enhancer	Inactive	Inactive
chr3	29144200	29145238	chr3:29144200_29145238	Enhancer/CTCF	Inactive	Inactive
chr1	156086148	156086763	chr1:156086148_156086763	Enhancer	Inactive	Inactive
chr12	6296029	6296647	chr12:6296029_6296647	Enhancer	Active	Inactive
chr9	13975678	13976443	chr9:13975678_13976443	Enhancer	Inactive	Inactive
chr18	23593669	23594187	chr18:23593669_23594187	Enhancer	Inactive	Inactive
chr2	168685846	168686916	chr2:168685846_168686916	Enhancer	Active	Inactive
chr2	33496904	33497775	chr2:33496904_33497775	Enhancer	Inactive	Inactive
chr5	90908744	90909698	chr5:90908744_90909698	Enhancer	Inactive	Inactive
chr13	110247398	110248341	chr13:110247398_110248341	CTCF	Inactive	Inactive
chr3	98922699	98923284	chr3:98922699_98923284	Enhancer	Inactive	Inactive
chr3	48694629	48695151	chr3:48694629_48695151	Enhancer	Active	Inactive
chr1	188652550	188653246	chr1:188652550_188653246	Enhancer	Inactive	Inactive
chr18	70044496	70045324	chr18:70044496_70045324	Enhancer	Active	Inactive
chr1	185367165	185367709	chr1:185367165_185367709	Enhancer	Active	Inactive
chr11	127639813	127640462	chr11:127639813_127640462	Enhancer	Active	Inactive
chr2	55093290	55093928	chr2:55093290_55093928	Enhancer	Active	Inactive
chr8	10598383	10598984	chr8:10598383_10598984	Enhancer	Inactive	Inactive
chr1	67889807	67890536	chr1:67889807_67890536	Enhancer	Active	Inactive
chr8	33016328	33016960	chr8:33016328_33016960	Enhancer	Active	Inactive
chr15	70708742	70709419	chr15:70708742_70709419	Enhancer	Active	Inactive
chr10	28130132	28130788	chr10:28130132_28130788	Enhancer	Active	Inactive
chr11	65565817	65566270	chr11:65565817_65566270	Enhancer	Inactive	Inactive
chr12	12474834	12475411	chr12:12474834_12475411	Enhancer	Active	Inactive
chr2	100197456	100198081	chr2:100197456_100198081	Enhancer	Inactive	Inactive
chr3	64219849	64220829	chr3:64219849_64220829	Enhancer	Inactive	Inactive
chr1	232558939	232559491	chr1:232558939_232559491	Enhancer	Inactive	Inactive
chr15	44207475	44208296	chr15:44207475_44208296	Enhancer	Active	Inactive
chr9	79012502	79013031	chr9:79012502_79013031	Enhancer	Active	Inactive
chr5	39148376	39149333	chr5:39148376_39149333	CTCF	Active	Inactive
chr1	9373577	9374070	chr1:9373577_9374070	Enhancer	Inactive	Inactive
chr13	52427826	52428921	chr13:52427826_52428921	Enhancer	Active	Active
chr12	77212957	77213942	chr12:77212957_77213942	Enhancer	Inactive	Inactive
chr11	82793021	82793895	chr11:82793021_82793895	Enhancer	Active	Inactive
chr6	138372635	138373217	chr6:138372635_138373217	Enhancer	Inactive	Inactive
chr2	131596380	131597508	chr2:131596380_131597508	Enhancer	Active	Inactive
chr16	68324741	68325217	chr16:68324741_68325217	Enhancer	Inactive	Inactive
chr1	220137094	220137912	chr1:220137094_220137912	Enhancer	Active	Inactive
chr16	69830619	69831835	chr16:69830619_69831835	Enhancer/CTCF	Inactive	Inactive
chr3	150599532	150600238	chr3:150599532_150600238	Enhancer	Active	Inactive
chr11	130480583	130481233	chr11:130480583_130481233	Enhancer	Inactive	Inactive
chr6	152720842	152721494	chr6:152720842_152721494	Enhancer	Active	Inactive
chr3	179682502	179683192	chr3:179682502_179683192	Enhancer	Inactive	Inactive
chr7	5694013	5694751	chr7:5694013_5694751	Enhancer	Inactive	Inactive
chr12	42474294	42474896	chr12:42474294_42474896	Enhancer	Inactive	Inactive
chr11	66126686	66127316	chr11:66126686_66127316	Enhancer	Inactive	Inactive
chr3	152025807	152026825	chr3:152025807_152026825	CTCF	Active	Inactive
chr15	69044903	69045527	chr15:69044903_69045527	Enhancer	Inactive	Inactive
