chr	start	end	id	RE_rule	Active_rule
chr15	74525992	74526505	chr15:74525992_74526505	Enhancer	Inactive
chr8	61657006	61657578	chr8:61657006_61657578	Enhancer	Active
chr10	79151523	79152161	chr10:79151523_79152161	Enhancer	Active
chr14	23155083	23155657	chr14:23155083_23155657	Enhancer	Active
chr17	67637791	67638557	chr17:67637791_67638557	Enhancer	Inactive
chr10	89117944	89118533	chr10:89117944_89118533	Enhancer	Active
chr1	151606365	151606924	chr1:151606365_151606924	Enhancer	Inactive
chr16	19107478	19108234	chr16:19107478_19108234	Enhancer	Inactive
chr20	38043822	38044383	chr20:38043822_38044383	Enhancer	Active
chr5	142014980	142015530	chr5:142014980_142015530	Enhancer/CTCF	Inactive
chr2	37635392	37636033	chr2:37635392_37636033	Enhancer	Active
chr8	19003549	19004198	chr8:19003549_19004198	Enhancer	Active
chr8	37420964	37421608	chr8:37420964_37421608	Enhancer	Inactive
chr8	127041424	127042264	chr8:127041424_127042264	Enhancer	Active
chr5	143495646	143496313	chr5:143495646_143496313	Enhancer	Inactive
chr17	3808661	3809629	chr17:3808661_3809629	Enhancer	Active
chr17	67281685	67282274	chr17:67281685_67282274	Enhancer	Active
chr2	144659554	144660193	chr2:144659554_144660193	Enhancer	Active
chr2	26696229	26696945	chr2:26696229_26696945	Enhancer	Inactive
chr7	99737589	99738154	chr7:99737589_99738154	Enhancer	Inactive
chr2	196294008	196294726	chr2:196294008_196294726	Enhancer	Inactive
chr20	38217610	38218144	chr20:38217610_38218144	Enhancer	Inactive
chr18	75070683	75071372	chr18:75070683_75071372	Enhancer	Active
chr1	168628673	168629340	chr1:168628673_168629340	Enhancer	Inactive
chr16	23280410	23281117	chr16:23280410_23281117	Enhancer	Active
chr9	112119411	112119983	chr9:112119411_112119983	Enhancer	Active
chr13	23868432	23869079	chr13:23868432_23869079	Enhancer	Active
chr10	4541163	4541748	chr10:4541163_4541748	Enhancer	Active
chr1	7572464	7573125	chr1:7572464_7573125	Enhancer	Inactive
chr1	46520480	46520904	chr1:46520480_46520904	Enhancer/Promoter	Inactive
chr15	31372503	31373058	chr15:31372503_31373058	Enhancer	Inactive
chr1	64077086	64077684	chr1:64077086_64077684	Enhancer	Active
chr10	22427805	22428992	chr10:22427805_22428992	Enhancer	Active
chr18	60053546	60054358	chr18:60053546_60054358	Enhancer	Active
chr10	62995298	62996294	chr10:62995298_62996294	Enhancer	Active
chr2	88638724	88639518	chr2:88638724_88639518	Enhancer	Inactive
chr20	13284822	13285855	chr20:13284822_13285855	Enhancer	Active
chr15	64574111	64574712	chr15:64574111_64574712	Enhancer	Active
chr21	37878820	37879435	chr21:37878820_37879435	Enhancer	Inactive
chr15	91407090	91407992	chr15:91407090_91407992	Enhancer	Active
chr5	151581710	151582669	chr5:151581710_151582669	Enhancer	Active
chr2	138060133	138060773	chr2:138060133_138060773	Enhancer	Inactive
chr2	171651987	171652863	chr2:171651987_171652863	Enhancer	Inactive
chr11	132054760	132055291	chr11:132054760_132055291	Enhancer	Inactive
chr5	37926735	37927244	chr5:37926735_37927244	Enhancer/CTCF	Inactive
chr6	11207005	11207712	chr6:11207005_11207712	Enhancer	Active
chr20	58127477	58128274	chr20:58127477_58128274	Enhancer/Promoter	Inactive
chr13	75365547	75366512	chr13:75365547_75366512	Enhancer	Active
chr10	114499560	114500374	chr10:114499560_114500374	Enhancer	Active
chr2	182372572	182373144	chr2:182372572_182373144	Enhancer	Active
chr1	37534330	37534901	chr1:37534330_37534901	Enhancer	Active
chr5	73268748	73269342	chr5:73268748_73269342	Enhancer	Inactive
chr3	13218032	13218677	chr3:13218032_13218677	Enhancer	Inactive
chr5	140236088	140236601	chr5:140236088_140236601	Enhancer	Inactive
chr11	122661426	122662049	chr11:122661426_122662049	Enhancer	Inactive
chr8	85635503	85636330	chr8:85635503_85636330	Enhancer	Active
chr18	3321313	3321922	chr18:3321313_3321922	Enhancer	Inactive
chr11	72140191	72140687	chr11:72140191_72140687	Enhancer	Active
chr4	48954527	48955286	chr4:48954527_48955286	Enhancer	Active
chr4	74320391	74321049	chr4:74320391_74321049	Enhancer/CTCF	Inactive
chr9	2362051	2362776	chr9:2362051_2362776	Enhancer	Active
chr3	52030652	52031229	chr3:52030652_52031229	Enhancer	Active
chr12	76876580	76877240	chr12:76876580_76877240	Enhancer	Active
chrX	45506736	45507491	chrX:45506736_45507491	Enhancer	Active
chr9	27422401	27422927	chr9:27422401_27422927	Enhancer	Inactive
chr3	139653510	139654053	chr3:139653510_139654053	Enhancer	Inactive
chr11	119696173	119697393	chr11:119696173_119697393	Enhancer	Active
chr2	19235135	19235930	chr2:19235135_19235930	Enhancer	Active
chr9	94937453	94937919	chr9:94937453_94937919	Enhancer	Inactive
chr6	11920918	11921518	chr6:11920918_11921518	Enhancer	Active
chr16	35562427	35563385	chr16:35562427_35563385	Enhancer	Inactive
chr6	140043926	140044506	chr6:140043926_140044506	Enhancer	Active
chr15	93566471	93567424	chr15:93566471_93567424	CTCF	Inactive
chr1	207073860	207074492	chr1:207073860_207074492	Enhancer	Active
chr15	93771541	93772133	chr15:93771541_93772133	Enhancer	Inactive
chr14	72666570	72667105	chr14:72666570_72667105	Enhancer	Inactive
chr10	116748014	116748573	chr10:116748014_116748573	Enhancer/Promoter	Inactive
chr22	30400124	30400602	chr22:30400124_30400602	Enhancer	Inactive
chr20	10578477	10579036	chr20:10578477_10579036	Enhancer	Active
chr16	67055590	67056263	chr16:67055590_67056263	Enhancer	Inactive
chr7	51139679	51140278	chr7:51139679_51140278	Enhancer/Promoter	Inactive
chr1	19925293	19925930	chr1:19925293_19925930	Enhancer	Inactive
chr11	59174058	59175123	chr11:59174058_59175123	Enhancer	Active
chr5	160289468	160290132	chr5:160289468_160290132	Enhancer/CTCF	Inactive
chr4	11397112	11397670	chr4:11397112_11397670	Enhancer	Inactive
chr13	106284294	106284849	chr13:106284294_106284849	Enhancer	Inactive
chr12	92675337	92675940	chr12:92675337_92675940	Enhancer	Inactive
chr6	3431920	3432908	chr6:3431920_3432908	Enhancer	Active
chr18	49731719	49732489	chr18:49731719_49732489	Enhancer	Active
chr21	45409665	45410293	chr21:45409665_45410293	Enhancer/CTCF	Inactive
chr14	99460644	99461277	chr14:99460644_99461277	Enhancer/CTCF	Inactive
chr10	49601740	49602244	chr10:49601740_49602244	Enhancer	Inactive
chr10	52864307	52864894	chr10:52864307_52864894	Enhancer	Inactive
chr3	149299996	149300731	chr3:149299996_149300731	Enhancer	Active
chr6	154368085	154368882	chr6:154368085_154368882	Enhancer/CTCF	Inactive
chr11	86463032	86463635	chr11:86463032_86463635	Enhancer	Inactive
chr20	5061093	5061691	chr20:5061093_5061691	Enhancer	Active
chr9	125521598	125522200	chr9:125521598_125522200	Enhancer	Active
chr6	134057379	134057938	chr6:134057379_134057938	Enhancer	Active
chr4	4269615	4270361	chr4:4269615_4270361	Enhancer	Active
chr20	40493498	40494055	chr20:40493498_40494055	Enhancer/Promoter	Inactive
chr22	40258224	40259088	chr22:40258224_40259088	Enhancer	Active
chr1	185400841	185401537	chr1:185400841_185401537	Enhancer	Inactive
chr1	15019804	15020425	chr1:15019804_15020425	Enhancer	Inactive
chr8	10152096	10152950	chr8:10152096_10152950	Enhancer	Active
chr12	28127291	28128009	chr12:28127291_28128009	Enhancer	Active
chr8	118116158	118116778	chr8:118116158_118116778	Enhancer	Inactive
chr17	7443811	7444432	chr17:7443811_7444432	Enhancer	Active
chr3	37221170	37221976	chr3:37221170_37221976	Enhancer	Inactive
chr16	22348229	22348734	chr16:22348229_22348734	Enhancer	Active
chrX	104618017	104618941	chrX:104618017_104618941	Enhancer	Inactive
chr1	44557671	44558234	chr1:44557671_44558234	Enhancer	Inactive
chr12	8678426	8679282	chr12:8678426_8679282	Enhancer	Active
chr10	76117828	76118540	chr10:76117828_76118540	Enhancer	Inactive
chr16	48123003	48123618	chr16:48123003_48123618	Enhancer	Inactive
chr4	106245129	106245815	chr4:106245129_106245815	Enhancer	Active
chr2	102064124	102064675	chr2:102064124_102064675	Enhancer	Inactive
chr1	228417730	228418163	chr1:228417730_228418163	Enhancer	Inactive
chr8	118506882	118507507	chr8:118506882_118507507	Enhancer	Inactive
chr1	23673316	23673917	chr1:23673316_23673917	Enhancer/CTCF	Inactive
chr15	41826080	41826678	chr15:41826080_41826678	Enhancer	Active
chr8	95225337	95225971	chr8:95225337_95225971	Enhancer/Promoter	Inactive
chr2	45851483	45852050	chr2:45851483_45852050	Enhancer	Inactive
chr1	25194343	25195096	chr1:25194343_25195096	Enhancer/Promoter	Inactive
chr4	15425456	15426029	chr4:15425456_15426029	Enhancer	Inactive
chr17	40533134	40533836	chr17:40533134_40533836	CTCF	Inactive
chr9	69637185	69638271	chr9:69637185_69638271	Enhancer	Active
chr2	10538413	10539031	chr2:10538413_10539031	Enhancer	Inactive
chr14	33686089	33686716	chr14:33686089_33686716	Enhancer	Inactive
chr16	48194961	48195655	chr16:48194961_48195655	Enhancer	Inactive
chr5	59562803	59563434	chr5:59562803_59563434	Enhancer	Inactive
chr6	16841163	16841848	chr6:16841163_16841848	Enhancer	Active
chr20	857858	858427	chr20:857858_858427	Enhancer	Inactive
chr17	81418636	81419179	chr17:81418636_81419179	Enhancer	Inactive
chr4	1300936	1301608	chr4:1300936_1301608	Enhancer	Active
chr2	234286144	234286727	chr2:234286144_234286727	Enhancer	Active
chr1	177304966	177305471	chr1:177304966_177305471	Enhancer	Inactive
chr22	38124142	38124736	chr22:38124142_38124736	Enhancer/CTCF	Inactive
chr9	131635174	131635787	chr9:131635174_131635787	Enhancer	Active
chr3	46422416	46423082	chr3:46422416_46423082	Enhancer	Inactive
chr15	63003336	63003905	chr15:63003336_63003905	Enhancer/Promoter	Inactive
chr1	33439794	33440600	chr1:33439794_33440600	Enhancer	Active
chr4	119209037	119209635	chr4:119209037_119209635	Enhancer	Active
chr6	42139806	42140467	chr6:42139806_42140467	Enhancer	Inactive
chr15	83733138	83733759	chr15:83733138_83733759	Enhancer	Inactive
chr10	74917349	74917926	chr10:74917349_74917926	Enhancer	Inactive
chr11	100328831	100329723	chr11:100328831_100329723	Enhancer	Inactive
chr18	8844539	8845284	chr18:8844539_8845284	Enhancer	Inactive
chr16	23081702	23082264	chr16:23081702_23082264	Enhancer	Inactive
chr6	46993789	46994317	chr6:46993789_46994317	Enhancer	Inactive
chr1	19361088	19362062	chr1:19361088_19362062	Enhancer	Active
chr7	74476620	74477487	chr7:74476620_74477487	Enhancer	Active
chr6	72748632	72749247	chr6:72748632_72749247	Enhancer	Active
chr10	79018447	79019058	chr10:79018447_79019058	Enhancer	Inactive
chr5	72441759	72442271	chr5:72441759_72442271	Enhancer	Inactive
chr14	102987068	102987842	chr14:102987068_102987842	Enhancer	Active
chr2	119492000	119492595	chr2:119492000_119492595	Enhancer	Active
chr7	128728497	128729142	chr7:128728497_128729142	Enhancer	Inactive
chr7	70480908	70481670	chr7:70480908_70481670	Enhancer/Promoter	Inactive
chr18	23281905	23282504	chr18:23281905_23282504	Enhancer	Active
chr16	80274511	80275026	chr16:80274511_80275026	Enhancer	Active
chr6	18346948	18347730	chr6:18346948_18347730	Enhancer	Active
chr18	31064017	31064555	chr18:31064017_31064555	Enhancer	Inactive
chr2	119240446	119240971	chr2:119240446_119240971	Enhancer	Inactive
chr6	106750420	106750975	chr6:106750420_106750975	Enhancer	Active
chr19	7376026	7376551	chr19:7376026_7376551	Enhancer	Inactive
chr16	14498007	14498753	chr16:14498007_14498753	Enhancer	Active
chr16	68031822	68032556	chr16:68031822_68032556	Enhancer	Active
chr19	13169655	13170234	chr19:13169655_13170234	Enhancer	Active
chr1	9443856	9444686	chr1:9443856_9444686	Enhancer	Active
chr15	71070912	71071618	chr15:71070912_71071618	Enhancer	Active
chr8	32323313	32323863	chr8:32323313_32323863	Enhancer	Inactive
chr7	149558090	149558987	chr7:149558090_149558987	Enhancer	Inactive
chr8	32429867	32430435	chr8:32429867_32430435	Enhancer	Inactive
chr2	121185690	121186153	chr2:121185690_121186153	Enhancer	Inactive
chr14	97523833	97524467	chr14:97523833_97524467	Enhancer	Inactive
chr6	11344160	11344855	chr6:11344160_11344855	Enhancer	Active
chr15	97760705	97761637	chr15:97760705_97761637	Enhancer	Inactive
chr12	98418365	98419250	chr12:98418365_98419250	Enhancer/Promoter	Inactive
chr12	75720445	75721274	chr12:75720445_75721274	Enhancer	Active
chr12	3304361	3304899	chr12:3304361_3304899	Enhancer	Inactive
chr1	226708422	226708951	chr1:226708422_226708951	Enhancer	Inactive
chr8	36905582	36906223	chr8:36905582_36906223	Enhancer	Inactive
chr20	10079827	10080529	chr20:10079827_10080529	Enhancer	Inactive
chr13	38405220	38405968	chr13:38405220_38405968	Enhancer	Inactive
chr1	215114068	215115079	chr1:215114068_215115079	Enhancer	Inactive
chr6	6825074	6825637	chr6:6825074_6825637	Enhancer	Inactive
chr6	43733814	43734513	chr6:43733814_43734513	Enhancer	Inactive
chr12	62250649	62251125	chr12:62250649_62251125	Enhancer	Inactive
chr6	156698921	156699496	chr6:156698921_156699496	Enhancer/Promoter	Inactive
chr8	129999834	130000411	chr8:129999834_130000411	Enhancer	Active
chr14	67444218	67444818	chr14:67444218_67444818	Enhancer	Active
chr12	28882313	28883066	chr12:28882313_28883066	Enhancer	Active
chr7	5646619	5647370	chr7:5646619_5647370	Enhancer	Active
chr8	101341575	101342561	chr8:101341575_101342561	Enhancer	Active
chr12	46209818	46210455	chr12:46209818_46210455	Enhancer	Active
chr17	47967670	47968405	chr17:47967670_47968405	Enhancer	Active
chr15	40379761	40380418	chr15:40379761_40380418	Enhancer	Inactive
chr1	22044996	22045458	chr1:22044996_22045458	Enhancer	Active
chr7	102891556	102892051	chr7:102891556_102892051	Enhancer	Inactive
chr17	57868000	57868761	chr17:57868000_57868761	CTCF	Active
chr16	88764874	88765433	chr16:88764874_88765433	Enhancer	Inactive
chr19	46202852	46203799	chr19:46202852_46203799	Enhancer	Inactive
chr7	115585021	115585704	chr7:115585021_115585704	Enhancer	Inactive
chr1	245091818	245092321	chr1:245091818_245092321	Enhancer	Active
chr13	23956060	23956825	chr13:23956060_23956825	Enhancer	Active
chr8	100666036	100666967	chr8:100666036_100666967	Enhancer/CTCF	Inactive
chr7	157027384	157028268	chr7:157027384_157028268	Enhancer	Inactive
chr6	10347684	10348339	chr6:10347684_10348339	Enhancer	Active
chr7	112481691	112482307	chr7:112481691_112482307	Enhancer	Inactive
chr1	58909080	58909617	chr1:58909080_58909617	Enhancer	Inactive
chr20	63682246	63683023	chr20:63682246_63683023	Enhancer	Inactive
chr16	89319944	89320688	chr16:89319944_89320688	Enhancer	Active
chr1	57591617	57592412	chr1:57591617_57592412	Enhancer	Inactive
chr19	57334128	57334595	chr19:57334128_57334595	Enhancer	Inactive
chr13	44734051	44734716	chr13:44734051_44734716	Enhancer	Inactive
chr1	234315022	234315680	chr1:234315022_234315680	Enhancer	Active
chr15	100284001	100284746	chr15:100284001_100284746	Enhancer	Inactive
chr8	133381864	133382471	chr8:133381864_133382471	Enhancer	Active
chr6	25312221	25313231	chr6:25312221_25313231	Enhancer	Inactive
chr20	15703141	15703912	chr20:15703141_15703912	Enhancer	Active
chr6	6790776	6791373	chr6:6790776_6791373	Enhancer	Inactive
chr1	36171161	36171804	chr1:36171161_36171804	Enhancer	Active
chr16	2915838	2916463	chr16:2915838_2916463	Enhancer	Active
chr14	73577143	73577679	chr14:73577143_73577679	Enhancer	Inactive
chr6	11845633	11846420	chr6:11845633_11846420	Enhancer/CTCF	Inactive
chr1	21869712	21870227	chr1:21869712_21870227	Enhancer	Inactive
chr6	158300324	158301043	chr6:158300324_158301043	Enhancer/CTCF	Inactive
chr13	42696047	42696715	chr13:42696047_42696715	Enhancer	Inactive
chr17	80791844	80792378	chr17:80791844_80792378	Enhancer	Active
chr7	96219259	96219878	chr7:96219259_96219878	Enhancer	Inactive
chr6	149011931	149012444	chr6:149011931_149012444	Enhancer	Inactive
chr15	101684254	101684895	chr15:101684254_101684895	Enhancer	Inactive
chr8	130483113	130483878	chr8:130483113_130483878	Enhancer	Inactive
chr17	14942396	14943249	chr17:14942396_14943249	Enhancer	Active
chr1	225710763	225711260	chr1:225710763_225711260	Enhancer	Inactive
chr13	29702676	29703626	chr13:29702676_29703626	Enhancer	Inactive
chr20	61789256	61789871	chr20:61789256_61789871	Enhancer/Promoter	Inactive
chr6	137155752	137156390	chr6:137155752_137156390	Enhancer	Inactive
chr18	55833451	55834063	chr18:55833451_55834063	Enhancer	Active
chr6	87723051	87723703	chr6:87723051_87723703	Enhancer	Inactive
chr5	40401860	40402393	chr5:40401860_40402393	Enhancer	Inactive
chr16	68475016	68475579	chr16:68475016_68475579	Enhancer/Promoter	Inactive
chr5	168646940	168647662	chr5:168646940_168647662	Enhancer	Inactive
chr2	238024959	238025445	chr2:238024959_238025445	Enhancer/CTCF	Inactive
chr3	23685643	23686374	chr3:23685643_23686374	Enhancer/CTCF	Inactive
chr2	9315403	9316072	chr2:9315403_9316072	Enhancer	Active
chr5	14474904	14475508	chr5:14474904_14475508	Enhancer	Inactive
chr9	79022955	79023779	chr9:79022955_79023779	Enhancer	Active
chr10	121780972	121781620	chr10:121780972_121781620	Enhancer	Inactive
chr1	120288803	120289739	chr1:120288803_120289739	Enhancer	Active
chr4	74374090	74375508	chr4:74374090_74375508	Enhancer	Active
chr3	194575052	194575656	chr3:194575052_194575656	Enhancer	Inactive
chr11	19441990	19442720	chr11:19441990_19442720	Enhancer	Inactive
chr5	14660047	14660747	chr5:14660047_14660747	Enhancer	Active
chr3	10366515	10367148	chr3:10366515_10367148	Enhancer/Promoter	Inactive
chr3	190116466	190117204	chr3:190116466_190117204	Enhancer	Inactive
chr22	40668833	40669521	chr22:40668833_40669521	Enhancer	Active
chr2	69464349	69465036	chr2:69464349_69465036	CTCF	Active
chr11	61279860	61280728	chr11:61279860_61280728	CTCF	Active
chr11	35115502	35116110	chr11:35115502_35116110	Enhancer	Active
chr1	161481564	161482116	chr1:161481564_161482116	Enhancer/Promoter	Inactive
chr11	34204821	34205383	chr11:34204821_34205383	Enhancer	Inactive
chr2	170885392	170885768	chr2:170885392_170885768	Enhancer/CTCF	Inactive
chr22	39959485	39960030	chr22:39959485_39960030	Enhancer/CTCF	Inactive
chr2	168565071	168565856	chr2:168565071_168565856	Enhancer	Active
chr11	3124215	3124868	chr11:3124215_3124868	Enhancer/CTCF	Inactive
chr2	168991762	168992939	chr2:168991762_168992939	Enhancer	Active
chr1	20604078	20604626	chr1:20604078_20604626	Enhancer	Active
chr2	85014558	85015271	chr2:85014558_85015271	Enhancer/CTCF	Inactive
chr5	10724592	10725728	chr5:10724592_10725728	CTCF	Active
chr5	14156131	14157389	chr5:14156131_14157389	Promoter	Active
chr10	99666866	99667605	chr10:99666866_99667605	Enhancer	Inactive
chr22	30226361	30226950	chr22:30226361_30226950	Enhancer	Active
chr9	121397996	121398924	chr9:121397996_121398924	Enhancer	Active
chr3	171791560	171792068	chr3:171791560_171792068	Enhancer	Active
chr3	170714048	170714914	chr3:170714048_170714914	Enhancer	Active
chr1	172476087	172476685	chr1:172476087_172476685	Enhancer	Active
chr9	94892637	94893099	chr9:94892637_94893099	Enhancer	Inactive
chr5	159337506	159338043	chr5:159337506_159338043	Enhancer	Active
chr2	219269307	219269883	chr2:219269307_219269883	Enhancer/Promoter	Inactive
chr2	226078654	226079094	chr2:226078654_226079094	Enhancer	Active
chr22	25114758	25115356	chr22:25114758_25115356	Enhancer	Inactive
chr11	108570950	108571443	chr11:108570950_108571443	Enhancer	Inactive
chr3	159829448	159830233	chr3:159829448_159830233	Enhancer	Inactive
chr11	113690540	113691134	chr11:113690540_113691134	Enhancer	Inactive
chr3	177345534	177346142	chr3:177345534_177346142	Enhancer	Active
chr11	8229073	8229808	chr11:8229073_8229808	Enhancer/Promoter	Inactive
chr2	212618598	212619142	chr2:212618598_212619142	Enhancer	Active
chr8	94310702	94311526	chr8:94310702_94311526	Enhancer	Active
chr9	130539388	130540276	chr9:130539388_130540276	Enhancer	Active
chr11	86459949	86460506	chr11:86459949_86460506	Enhancer	Inactive
chr11	85844343	85844856	chr11:85844343_85844856	Enhancer	Inactive
chr12	125140703	125141287	chr12:125140703_125141287	Enhancer	Active
chr8	9082106	9082550	chr8:9082106_9082550	Enhancer	Inactive
chr11	131977132	131978363	chr11:131977132_131978363	Enhancer	Active
chr1	114014948	114015501	chr1:114014948_114015501	Enhancer	Inactive
chr11	69008608	69009227	chr11:69008608_69009227	Enhancer	Inactive
chr3	182389012	182389896	chr3:182389012_182389896	Enhancer	Active
chr9	121289233	121289839	chr9:121289233_121289839	Enhancer	Active
chr2	216724099	216724697	chr2:216724099_216724697	Enhancer/Promoter	Inactive
chr2	69184153	69184706	chr2:69184153_69184706	Enhancer	Active
chr3	30596938	30597815	chr3:30596938_30597815	Enhancer	Active
chr4	26780363	26781034	chr4:26780363_26781034	Enhancer	Active
chr12	104975556	104976330	chr12:104975556_104976330	Enhancer	Inactive
chr8	98927046	98927635	chr8:98927046_98927635	Enhancer	Inactive
chr3	62601441	62601979	chr3:62601441_62601979	Enhancer	Active
chr9	32738613	32739196	chr9:32738613_32739196	Enhancer	Active
chr2	36701206	36702016	chr2:36701206_36702016	CTCF	Inactive
chr1	151941219	151941846	chr1:151941219_151941846	Enhancer	Active
chr10	25059781	25060464	chr10:25059781_25060464	Enhancer	Active
chr3	78506933	78507833	chr3:78506933_78507833	Enhancer	Inactive
chr11	58770655	58771289	chr11:58770655_58771289	Enhancer	Active
chr9	34600833	34601424	chr9:34600833_34601424	Enhancer	Inactive
chr2	33222223	33222771	chr2:33222223_33222771	Enhancer	Inactive
chr21	37780853	37781697	chr21:37780853_37781697	Enhancer	Inactive
chr2	28802912	28803500	chr2:28802912_28803500	Enhancer	Active
chr10	34941288	34942245	chr10:34941288_34942245	Enhancer	Active
chr4	107801575	107802381	chr4:107801575_107802381	Enhancer	Inactive
chr12	101018499	101019006	chr12:101018499_101019006	Enhancer	Active
chr1	152718182	152718713	chr1:152718182_152718713	Enhancer	Inactive
chr5	137231357	137232211	chr5:137231357_137232211	Enhancer	Active
chr22	43404346	43405132	chr22:43404346_43405132	Enhancer/CTCF	Inactive
chr2	159960392	159961459	chr2:159960392_159961459	Enhancer	Active
chr2	149410562	149411615	chr2:149410562_149411615	Enhancer	Active
chr2	149049093	149049652	chr2:149049093_149049652	Enhancer	Active
chr2	159135887	159136416	chr2:159135887_159136416	Enhancer	Active
chr2	27566563	27567116	chr2:27566563_27567116	Enhancer	Active
chr3	50539773	50540357	chr3:50539773_50540357	Enhancer/Promoter	Inactive
chr2	38417717	38418272	chr2:38417717_38418272	Enhancer	Inactive
chr12	113040557	113041116	chr12:113040557_113041116	Enhancer	Active
chr9	70053774	70054462	chr9:70053774_70054462	Enhancer	Inactive
chr1	159598151	159598744	chr1:159598151_159598744	Enhancer	Inactive
chr7	5597887	5599700	chr7:5597887_5599700	Enhancer	Inactive
chr20	56809630	56810015	chr20:56809630_56810015	Enhancer	Inactive
chr12	64171636	64172212	chr12:64171636_64172212	Enhancer	Inactive
chr20	5657308	5658136	chr20:5657308_5658136	Enhancer	Active
chr15	62112777	62113371	chr15:62112777_62113371	Enhancer	Active
chr12	25135420	25136254	chr12:25135420_25136254	Enhancer/CTCF	Inactive
chr1	234538735	234539447	chr1:234538735_234539447	Enhancer	Active
chr17	31674824	31675374	chr17:31674824_31675374	Enhancer	Active
chr12	66036235	66036928	chr12:66036235_66036928	Enhancer	Inactive
chr10	30447003	30447782	chr10:30447003_30447782	Enhancer	Inactive
chr10	132571798	132572607	chr10:132571798_132572607	Enhancer/CTCF	Inactive
chr12	11798777	11799419	chr12:11798777_11799419	Enhancer	Inactive
chr5	159341673	159342269	chr5:159341673_159342269	Enhancer	Inactive
chr11	11520125	11520749	chr11:11520125_11520749	Enhancer	Inactive
chr21	33442024	33442637	chr21:33442024_33442637	Enhancer	Active
chr3	150727716	150728254	chr3:150727716_150728254	Enhancer	Active
chr5	180056540	180057108	chr5:180056540_180057108	Enhancer	Inactive
chr8	91319301	91319897	chr8:91319301_91319897	Enhancer	Active
chr8	9134820	9135822	chr8:9134820_9135822	Enhancer	Inactive
chr3	156770694	156771197	chr3:156770694_156771197	Enhancer	Active
chr5	179818793	179819958	chr5:179818793_179819958	Enhancer	Active
chr3	159787063	159787612	chr3:159787063_159787612	Enhancer	Active
chr17	17675860	17676634	chr17:17675860_17676634	Enhancer	Active
chr1	178632654	178633598	chr1:178632654_178633598	Enhancer	Active
chr20	1399789	1400593	chr20:1399789_1400593	Enhancer	Active
chr15	43253808	43254496	chr15:43253808_43254496	Enhancer	Inactive
chr12	75690422	75691061	chr12:75690422_75691061	Enhancer	Active
chr11	10647485	10647951	chr11:10647485_10647951	Enhancer/Promoter	Inactive
chr16	85173027	85173550	chr16:85173027_85173550	Enhancer	Inactive
chr17	77322646	77323512	chr17:77322646_77323512	Enhancer	Active
chr22	18057581	18058104	chr22:18057581_18058104	Enhancer	Inactive
chr1	180521972	180522651	chr1:180521972_180522651	Enhancer	Active
chr3	171089301	171089847	chr3:171089301_171089847	Enhancer/Promoter	Inactive
chr15	47443693	47444350	chr15:47443693_47444350	Enhancer	Active
chr15	47812280	47813082	chr15:47812280_47813082	Enhancer	Inactive
chr9	107389444	107390149	chr9:107389444_107390149	Enhancer	Inactive
chr7	111953457	111954145	chr7:111953457_111954145	Enhancer/CTCF	Inactive
chr15	47820086	47821439	chr15:47820086_47821439	Enhancer	Active
chr8	71830745	71831714	chr8:71830745_71831714	Enhancer	Active
chr1	204438521	204439046	chr1:204438521_204439046	Enhancer	Active
chr3	43753688	43754269	chr3:43753688_43754269	Enhancer/Promoter	Inactive
chr1	203289509	203290022	chr1:203289509_203290022	Enhancer	Active
chr7	44959470	44960035	chr7:44959470_44960035	Enhancer/Promoter	Inactive
chr17	50497798	50498470	chr17:50497798_50498470	Enhancer	Inactive
chr17	81912611	81913178	chr17:81912611_81913178	Enhancer/CTCF	Inactive
chr9	114348782	114349519	chr9:114348782_114349519	Enhancer	Inactive
chr17	57107404	57107892	chr17:57107404_57107892	Enhancer	Active
chr5	71899832	71900552	chr5:71899832_71900552	Enhancer	Inactive
chr17	41678358	41679571	chr17:41678358_41679571	Enhancer	Active
chr4	13907155	13907839	chr4:13907155_13907839	Enhancer	Active
chr3	4905968	4906767	chr3:4905968_4906767	Enhancer	Inactive
chr15	93831561	93832108	chr15:93831561_93832108	Enhancer	Inactive
chr4	26087727	26089053	chr4:26087727_26089053	Enhancer	Active
chr4	54067083	54067670	chr4:54067083_54067670	Enhancer	Active
chrX	17405020	17406171	chrX:17405020_17406171	Promoter	Active
chr10	56317515	56318070	chr10:56317515_56318070	Enhancer	Inactive
chr10	4775658	4776293	chr10:4775658_4776293	Enhancer	Inactive
chr8	37142730	37143591	chr8:37142730_37143591	Enhancer	Active
chr17	44235513	44236030	chr17:44235513_44236030	Enhancer	Inactive
chr20	44089880	44090494	chr20:44089880_44090494	Enhancer	Inactive
chr2	158990152	158991038	chr2:158990152_158991038	Enhancer	Active
chr1	245090696	245091771	chr1:245090696_245091771	Enhancer	Active
chr2	102487858	102488622	chr2:102487858_102488622	Enhancer	Inactive
chr12	121124283	121124855	chr12:121124283_121124855	Enhancer	Active
chr3	24591546	24592173	chr3:24591546_24592173	Enhancer	Active
chr12	62785740	62786395	chr12:62785740_62786395	Enhancer	Active
chr16	17836838	17837517	chr16:17836838_17837517	Enhancer	Active
chr10	90179609	90180120	chr10:90179609_90180120	Enhancer	Active
chr8	95190504	95190992	chr8:95190504_95190992	Enhancer	Inactive
chr17	36529076	36529538	chr17:36529076_36529538	Enhancer	Inactive
